id,name,category,products,city,region,min_order,price_level,delivery,certificates,website,email,phone,comment
1,Поставщик 1 — Упаковка,упаковка,"крафт-пакеты, пленка, стаканы",Екатеринбург,ЦФО,50000,высокая,по согласованию,"HACCP, ISO 22000",https://supplier1.example.com,sales1@example.com,+7 900 000-01-01,Подходит для малого бизнеса
2,Поставщик 2 — Напитки,напитки,"соки, кофе, лимонады",Москва,Сибирь,300000,высокая,нет,"нет данных, ветеринарные документы",https://supplier2.example.com,sales2@example.com,+7 900 000-02-02,Подходит для тестовых партий
3,Поставщик 3 — Ингредиенты,ингредиенты,"специи, сахар, соусы",Ростов-на-Дону,Сибирь,10000,высокая,по согласованию,"декларация соответствия, ветеринарные документы",https://supplier3.example.com,sales3@example.com,+7 900 000-03-03,Хорошие условия для регулярных заказов
4,Поставщик 4 — Молочная Продукция,молочная продукция,"сыр, йогурт, творог",Санкт-Петербург,Вся Россия,50000,низкая,по согласованию,"сертификаты качества, нет данных",https://supplier4.example.com,sales4@example.com,+7 900 000-04-04,Подходит для тестовых партий
5,Поставщик 5 — Молочная Продукция,молочная продукция,"молоко, творог, йогурт",Москва,Урал,30000,средняя,нет,"сертификаты качества, декларация соответствия",https://supplier5.example.com,sales5@example.com,+7 900 000-05-05,Подходит для тестовых партий
6,Поставщик 6 — Готовая Продукция,готовая продукция,"сэндвичи, готовые обеды, полуфабрикаты",Краснодар,ЦФО,50000,низкая,есть,"ISO 22000, сертификаты качества",https://supplier6.example.com,sales6@example.com,+7 900 000-06-06,Подходит для малого бизнеса
7,Поставщик 7 — Готовая Продукция,готовая продукция,"готовые обеды, салаты, полуфабрикаты",Краснодар,Санкт-Петербург и ЛО,10000,низкая,по согласованию,"HACCP, декларация соответствия",https://supplier7.example.com,sales7@example.com,+7 900 000-07-07,Можно запросить индивидуальный прайс
8,Поставщик 8 — Молочная Продукция,молочная продукция,"сыр, творог, молоко",Нижний Новгород,Санкт-Петербург и ЛО,50000,низкая,по согласованию,"ISO 22000, сертификаты качества",https://supplier8.example.com,sales8@example.com,+7 900 000-08-08,Хорошие условия для регулярных заказов
9,Поставщик 9 — Упаковка,упаковка,"стаканы, крафт-пакеты, контейнеры",Новосибирск,Санкт-Петербург и ЛО,20000,высокая,по согласованию,"ветеринарные документы, сертификаты качества",https://supplier9.example.com,sales9@example.com,+7 900 000-09-09,Подходит для тестовых партий
10,Поставщик 10 — Логистика,логистика,"холодная доставка, транспортировка, склад",Новосибирск,Москва и МО,50000,низкая,есть,"декларация соответствия, нет данных",https://supplier10.example.com,sales10@example.com,+7 900 000-10-10,Хорошие условия для регулярных заказов
11,Поставщик 11 — Ингредиенты,ингредиенты,"масла, мука, сахар",Нижний Новгород,Юг России,10000,средняя,есть,"ISO 22000, ветеринарные документы",https://supplier11.example.com,sales11@example.com,+7 900 000-11-11,Есть опыт работы с сетями питания
12,Поставщик 12 — Бакалея,бакалея,"крупы, мука, сахар",Санкт-Петербург,Санкт-Петербург и ЛО,20000,средняя,есть,"ветеринарные документы, HACCP",https://supplier12.example.com,sales12@example.com,+7 900 000-12-12,Подходит для тестовых партий
13,Поставщик 13 — Упаковка,упаковка,"этикетки, пленка, стаканы",Екатеринбург,Москва и МО,50000,высокая,нет,"сертификаты качества, декларация соответствия",https://supplier13.example.com,sales13@example.com,+7 900 000-13-13,Хорошие условия для регулярных заказов
14,Поставщик 14 — Логистика,логистика,"склад, холодная доставка, транспортировка",Москва,Урал,20000,средняя,по согласованию,"нет данных, декларация соответствия",https://supplier14.example.com,sales14@example.com,+7 900 000-14-14,Есть опыт работы с сетями питания
15,Поставщик 15 — Ингредиенты,ингредиенты,"мука, масла, сахар",Ростов-на-Дону,Урал,10000,средняя,нет,"ветеринарные документы, сертификаты качества",https://supplier15.example.com,sales15@example.com,+7 900 000-15-15,Есть опыт работы с сетями питания
16,Поставщик 16 — Мясо И Рыба,мясо и рыба,"говядина, курица, свинина",Ростов-на-Дону,Урал,10000,средняя,по согласованию,"ветеринарные документы, ISO 22000",https://supplier16.example.com,sales16@example.com,+7 900 000-16-16,Есть опыт работы с сетями питания
17,Поставщик 17 — Замороженные Продукты,замороженные продукты,"овощи, замороженное мясо, полуфабрикаты",Ростов-на-Дону,Сибирь,10000,высокая,нет,"декларация соответствия, ISO 22000",https://supplier17.example.com,sales17@example.com,+7 900 000-17-17,Хорошие условия для регулярных заказов
18,Поставщик 18 — Бакалея,бакалея,"крупы, мука, сахар",Краснодар,Москва и МО,50000,средняя,есть,"нет данных, ISO 22000",https://supplier18.example.com,sales18@example.com,+7 900 000-18-18,Подходит для малого бизнеса
19,Поставщик 19 — Напитки,напитки,"кофе, лимонады, чай",Нижний Новгород,Санкт-Петербург и ЛО,20000,высокая,есть,"декларация соответствия, HACCP",https://supplier19.example.com,sales19@example.com,+7 900 000-19-19,Можно запросить индивидуальный прайс
20,Поставщик 20 — Готовая Продукция,готовая продукция,"салаты, полуфабрикаты, готовые обеды",Ростов-на-Дону,Москва и МО,20000,низкая,есть,"нет данных, декларация соответствия",https://supplier20.example.com,sales20@example.com,+7 900 000-20-20,Есть опыт работы с сетями питания
21,Поставщик 21 — Логистика,логистика,"транспортировка, склад, фулфилмент",Краснодар,Вся Россия,150000,средняя,по согласованию,"декларация соответствия, HACCP",https://supplier21.example.com,sales21@example.com,+7 900 000-21-21,Подходит для малого бизнеса
22,Поставщик 22 — Готовая Продукция,готовая продукция,"полуфабрикаты, готовые обеды, сэндвичи",Нижний Новгород,Урал,300000,высокая,по согласованию,"декларация соответствия, HACCP",https://supplier22.example.com,sales22@example.com,+7 900 000-22-22,Подходит для тестовых партий
23,Поставщик 23 — Ингредиенты,ингредиенты,"стабилизаторы, соусы, мука",Москва,Санкт-Петербург и ЛО,30000,высокая,по согласованию,"ISO 22000, декларация соответствия",https://supplier23.example.com,sales23@example.com,+7 900 000-23-23,Подходит для тестовых партий
24,Поставщик 24 — Упаковка,упаковка,"этикетки, стаканы, крафт-пакеты",Санкт-Петербург,Вся Россия,50000,средняя,нет,"нет данных, сертификаты качества",https://supplier24.example.com,sales24@example.com,+7 900 000-24-24,Подходит для тестовых партий
25,Поставщик 25 — Упаковка,упаковка,"пленка, стаканы, этикетки",Санкт-Петербург,ПФО,30000,средняя,нет,"декларация соответствия, ISO 22000",https://supplier25.example.com,sales25@example.com,+7 900 000-25-25,Можно запросить индивидуальный прайс
26,Поставщик 26 — Замороженные Продукты,замороженные продукты,"ягоды, полуфабрикаты, овощи",Нижний Новгород,Санкт-Петербург и ЛО,20000,средняя,есть,"сертификаты качества, ветеринарные документы",https://supplier26.example.com,sales26@example.com,+7 900 000-26-26,Хорошие условия для регулярных заказов
27,Поставщик 27 — Молочная Продукция,молочная продукция,"молоко, творог, сыр",Москва,Вся Россия,150000,средняя,есть,"сертификаты качества, HACCP",https://supplier27.example.com,sales27@example.com,+7 900 000-27-27,Хорошие условия для регулярных заказов
28,Поставщик 28 — Логистика,логистика,"транспортировка, холодная доставка, фулфилмент",Нижний Новгород,Сибирь,20000,низкая,есть,"декларация соответствия, HACCP",https://supplier28.example.com,sales28@example.com,+7 900 000-28-28,Есть опыт работы с сетями питания
29,Поставщик 29 — Замороженные Продукты,замороженные продукты,"ягоды, замороженное мясо, овощи",Ростов-на-Дону,Москва и МО,150000,низкая,нет,"ветеринарные документы, нет данных",https://supplier29.example.com,sales29@example.com,+7 900 000-29-29,Есть опыт работы с сетями питания
30,Поставщик 30 — Мясо И Рыба,мясо и рыба,"курица, говядина, свинина",Санкт-Петербург,ПФО,150000,низкая,по согласованию,"ISO 22000, сертификаты качества",https://supplier30.example.com,sales30@example.com,+7 900 000-30-30,Подходит для малого бизнеса
31,Поставщик 31 — Готовая Продукция,готовая продукция,"готовые обеды, полуфабрикаты, салаты",Москва,Урал,10000,высокая,по согласованию,"HACCP, нет данных",https://supplier31.example.com,sales31@example.com,+7 900 000-31-31,Подходит для малого бизнеса
32,Поставщик 32 — Ингредиенты,ингредиенты,"масла, мука, стабилизаторы",Краснодар,Сибирь,30000,высокая,нет,"ветеринарные документы, декларация соответствия",https://supplier32.example.com,sales32@example.com,+7 900 000-32-32,Подходит для малого бизнеса
33,Поставщик 33 — Упаковка,упаковка,"этикетки, стаканы, крафт-пакеты",Краснодар,Сибирь,100000,низкая,нет,"ветеринарные документы, декларация соответствия",https://supplier33.example.com,sales33@example.com,+7 900 000-33-33,Хорошие условия для регулярных заказов
34,Поставщик 34 — Ингредиенты,ингредиенты,"специи, стабилизаторы, масла",Новосибирск,Сибирь,50000,низкая,по согласованию,"ветеринарные документы, HACCP",https://supplier34.example.com,sales34@example.com,+7 900 000-34-34,Есть опыт работы с сетями питания
